best_epoch,best_val_loss,best_tr_acc,best_val_acc,best_test_acc,tf_seed
400,0.3236473500728607,0.8398423504120387,0.8464373464373465,0.8398341523341524,0
400,0.3219517469406128,0.8439371449045401,0.8508906633906634,0.8435196560196561,1
500,0.3763212561607361,0.8052925218815581,0.8161855036855037,0.8108108108108109,2
247,0.49313950538635254,0.7383938168603164,0.7607493857493858,0.765970515970516,3
86,0.4897546172142029,0.7146951937349644,0.7612100737100738,0.7652027027027027,4
147,0.3578414022922516,0.8178840149459999,0.8273955773955773,0.8237100737100738,5
400,0.49384355545043945,0.7400317346573169,0.764588452088452,0.7676597051597052,6
106,0.4706560969352722,0.7549265496237908,0.7727272727272727,0.7750307125307125,7
700,0.3235430419445038,0.8444489942161028,0.8507371007371007,0.8432125307125307,8
34,0.36432695388793945,0.813123816348467,0.8203316953316954,0.8215601965601965,9
400,0.31644514203071594,0.8433229257306649,0.8507371007371007,0.839987714987715,10
400,0.31999194622039795,0.8439371449045401,0.8498157248157249,0.8458230958230958,11
500,0.3196427524089813,0.8392281312381635,0.8484336609336609,0.8379914004914005,12
800,0.32949382066726685,0.839330501100476,0.847512285012285,0.8363022113022113,13
192,0.35905444622039795,0.818856528637969,0.8247850122850123,0.8249385749385749,14
222,0.48901790380477905,0.746378666120694,0.7616707616707616,0.765509828009828,15
300,0.49568232893943787,0.744843118186006,0.7622850122850123,0.7632063882063882,16
372,0.3584527373313904,0.8176792752213748,0.8258599508599509,0.8252457002457002,17
296,0.4922769069671631,0.7426933510774428,0.7541461916461917,0.7604422604422605,18
400,0.4938608705997467,0.7399805497261606,0.764588452088452,0.7676597051597052,19
